2025-06-13 04:50:54,671 - INFO - Dataset: BME
2025-06-13 04:50:54,672 - INFO - Loading and normalizing train/test data...
2025-06-13 04:50:55,025 - INFO - Starting hyperparameter optimization...
2025-06-13 04:53:03,759 - INFO - Trial 23: w=10, lambda=0.1696
2025-06-13 04:53:11,973 - INFO - Trial 23 accuracy: 0.8333
2025-06-13 04:53:12,022 - INFO - Trial 24: w=23, lambda=0.0069
2025-06-13 04:53:14,139 - INFO - Trial 24 accuracy: 0.0333
2025-06-13 04:53:14,218 - INFO - Trial 25: w=7, lambda=6.0988
2025-06-13 04:53:21,517 - INFO - Trial 25 accuracy: 0.7667
2025-06-13 04:53:21,538 - INFO - Trial 26: w=6, lambda=0.0587
2025-06-13 04:53:36,963 - INFO - Trial 26 accuracy: 0.8000
2025-06-13 04:53:37,014 - INFO - Trial 27: w=16, lambda=0.4343
2025-06-13 04:53:40,633 - INFO - Trial 27 accuracy: 0.8000
2025-06-13 04:53:40,684 - INFO - Trial 28: w=33, lambda=4.0849
2025-06-13 04:53:41,515 - INFO - Trial 28 accuracy: 0.7667
2025-06-13 04:53:41,537 - INFO - Trial 29: w=29, lambda=1.4241
2025-06-13 04:53:42,679 - INFO - Trial 29 accuracy: 0.7333
2025-06-13 04:53:42,756 - INFO - Trial 30: w=53, lambda=0.1124
2025-06-13 04:53:45,138 - INFO - Trial 30 accuracy: 0.7333
2025-06-13 04:53:45,165 - INFO - Trial 31: w=15, lambda=0.0391
2025-06-13 04:53:54,149 - INFO - Trial 31 accuracy: 0.8333
2025-06-13 04:53:54,196 - INFO - Trial 32: w=10, lambda=0.2486
2025-06-13 04:54:01,693 - INFO - Trial 32 accuracy: 0.8000
2025-06-13 04:54:01,812 - INFO - Trial 33: w=20, lambda=0.0173
2025-06-13 04:54:08,597 - INFO - Trial 33 accuracy: 0.0667
2025-06-13 04:54:08,739 - INFO - Trial 34: w=4, lambda=0.0663
2025-06-13 04:54:24,481 - INFO - Trial 34 accuracy: 0.8000
2025-06-13 04:54:24,544 - INFO - Trial 35: w=25, lambda=0.0333
2025-06-13 04:54:35,682 - INFO - Trial 35 accuracy: 0.8333
2025-06-13 04:54:35,758 - INFO - Trial 36: w=13, lambda=0.1584
2025-06-13 04:54:42,092 - INFO - Trial 36 accuracy: 0.8333
2025-06-13 04:54:42,194 - INFO - Trial 37: w=34, lambda=0.3276
2025-06-13 04:54:44,117 - INFO - Trial 37 accuracy: 0.7667
2025-06-13 04:54:44,171 - INFO - Trial 38: w=11, lambda=0.0100
2025-06-13 04:54:47,302 - INFO - Trial 38 accuracy: 0.0000
2025-06-13 04:54:47,365 - INFO - Trial 39: w=21, lambda=0.0033
2025-06-13 04:54:48,721 - INFO - Trial 39 accuracy: 0.0000
2025-06-13 04:54:48,776 - INFO - Trial 40: w=27, lambda=0.7719
2025-06-13 04:54:50,300 - INFO - Trial 40 accuracy: 0.7667
2025-06-13 04:54:50,377 - INFO - Trial 41: w=9, lambda=0.1654
2025-06-13 04:55:00,404 - INFO - Trial 41 accuracy: 0.8000
2025-06-13 04:55:00,465 - INFO - Trial 42: w=16, lambda=0.0915
2025-06-13 04:55:07,095 - INFO - Trial 42 accuracy: 0.8333
2025-06-13 04:55:07,158 - INFO - Trial 43: w=11, lambda=0.0438
2025-06-13 04:55:17,212 - INFO - Trial 43 accuracy: 0.8333
2025-06-13 04:55:17,259 - INFO - Trial 44: w=3, lambda=0.1541
2025-06-13 04:55:32,834 - INFO - Trial 44 accuracy: 0.8000
2025-06-13 04:55:32,886 - INFO - Trial 45: w=7, lambda=1.9787
2025-06-13 04:55:43,739 - INFO - Trial 45 accuracy: 0.7667
2025-06-13 04:55:43,878 - INFO - Trial 46: w=12, lambda=0.0233
2025-06-13 04:55:58,131 - INFO - Trial 46 accuracy: 0.1333
2025-06-13 04:55:58,351 - INFO - Trial 47: w=15, lambda=0.4467
2025-06-13 04:56:03,778 - INFO - Trial 47 accuracy: 0.8000
2025-06-13 04:56:03,976 - INFO - Trial 48: w=18, lambda=0.0570
2025-06-13 04:56:15,359 - INFO - Trial 48 accuracy: 0.8333
2025-06-13 04:56:15,433 - INFO - Trial 49: w=9, lambda=1.1419
2025-06-13 04:56:25,297 - INFO - Trial 49 accuracy: 0.7667
2025-06-13 04:56:25,409 - INFO - Trial 50: w=23, lambda=0.1917
2025-06-13 04:56:30,344 - INFO - Trial 50 accuracy: 0.8333
2025-06-13 04:56:30,559 - INFO - Trial 51: w=14, lambda=0.0401
2025-06-13 04:56:44,128 - INFO - Trial 51 accuracy: 0.8333
2025-06-13 04:56:44,220 - INFO - Trial 52: w=17, lambda=0.0312
2025-06-13 04:56:58,023 - INFO - Trial 52 accuracy: 0.8333
2025-06-13 04:56:58,108 - INFO - Trial 53: w=5, lambda=0.0870
2025-06-13 04:57:21,407 - INFO - Trial 53 accuracy: 0.8000
2025-06-13 04:57:21,557 - INFO - Trial 54: w=1, lambda=0.0138
2025-06-13 04:57:32,077 - INFO - Trial 54 accuracy: 0.0000
2025-06-13 04:57:32,194 - INFO - Trial 55: w=14, lambda=0.0058
2025-06-13 04:57:34,034 - INFO - Trial 55 accuracy: 0.0000
2025-06-13 04:57:34,085 - INFO - Trial 56: w=20, lambda=0.0011
2025-06-13 04:57:34,449 - INFO - Trial 56 accuracy: 0.0000
2025-06-13 04:57:34,482 - INFO - Trial 57: w=8, lambda=0.1059
2025-06-13 04:57:52,083 - INFO - Trial 57 accuracy: 0.8000
2025-06-13 04:57:52,235 - INFO - Trial 58: w=60, lambda=0.3164
2025-06-13 04:57:53,362 - INFO - Trial 58 accuracy: 0.7333
2025-06-13 04:57:53,400 - INFO - Trial 59: w=46, lambda=40.8028
2025-06-13 04:57:55,046 - INFO - Trial 59 accuracy: 0.7667
2025-06-13 04:57:55,099 - INFO - Trial 60: w=22, lambda=0.0209
2025-06-13 04:58:08,985 - INFO - Trial 60 accuracy: 0.2667
2025-06-13 04:58:09,066 - INFO - Trial 61: w=24, lambda=0.0383
2025-06-13 04:58:24,514 - INFO - Trial 61 accuracy: 0.8333
2025-06-13 04:58:24,604 - INFO - Trial 62: w=26, lambda=0.0659
2025-06-13 04:58:35,849 - INFO - Trial 62 accuracy: 0.8000
2025-06-13 04:58:35,926 - INFO - Trial 63: w=30, lambda=0.0328
2025-06-13 04:58:51,569 - INFO - Trial 63 accuracy: 0.7667
2025-06-13 04:58:51,733 - INFO - Trial 64: w=18, lambda=0.1395
2025-06-13 04:58:59,938 - INFO - Trial 64 accuracy: 0.8333
2025-06-13 04:59:00,169 - INFO - Trial 65: w=11, lambda=0.2393
2025-06-13 04:59:10,043 - INFO - Trial 65 accuracy: 0.8000
2025-06-13 04:59:10,120 - INFO - Trial 66: w=15, lambda=0.0103
2025-06-13 04:59:14,788 - INFO - Trial 66 accuracy: 0.0333
2025-06-13 04:59:14,844 - INFO - Trial 67: w=36, lambda=0.0755
2025-06-13 04:59:22,486 - INFO - Trial 67 accuracy: 0.7333
2025-06-13 04:59:22,700 - INFO - Trial 68: w=20, lambda=0.0046
2025-06-13 04:59:24,482 - INFO - Trial 68 accuracy: 0.0000
2025-06-13 04:59:24,521 - INFO - Trial 69: w=6, lambda=0.0159
2025-06-13 04:59:34,516 - INFO - Trial 69 accuracy: 0.0000
2025-06-13 04:59:34,574 - INFO - Trial 70: w=12, lambda=0.0267
2025-06-13 04:59:49,535 - INFO - Trial 70 accuracy: 0.7000
2025-06-13 04:59:49,737 - INFO - Trial 71: w=14, lambda=0.1278
2025-06-13 04:59:59,354 - INFO - Trial 71 accuracy: 0.8333
2025-06-13 04:59:59,419 - INFO - Trial 72: w=10, lambda=0.0486
2025-06-13 05:00:30,821 - INFO - Trial 72 accuracy: 0.8333
2025-06-13 05:00:31,063 - INFO - Trial 73: w=13, lambda=0.6122
2025-06-13 05:00:38,840 - INFO - Trial 73 accuracy: 0.7667
2025-06-13 05:00:39,001 - INFO - Trial 74: w=16, lambda=0.2040
2025-06-13 05:00:48,745 - INFO - Trial 74 accuracy: 0.8000
2025-06-13 05:00:49,010 - INFO - Trial 75: w=8, lambda=0.4478
2025-06-13 05:01:07,074 - INFO - Trial 75 accuracy: 0.7667
2025-06-13 05:01:07,228 - INFO - Trial 76: w=19, lambda=0.0770
2025-06-13 05:01:17,334 - INFO - Trial 76 accuracy: 0.8333
2025-06-13 05:01:17,412 - INFO - Trial 77: w=4, lambda=0.1107
2025-06-13 05:01:41,557 - INFO - Trial 77 accuracy: 0.8000
2025-06-13 05:01:41,662 - INFO - Trial 78: w=30, lambda=0.0544
2025-06-13 05:01:54,769 - INFO - Trial 78 accuracy: 0.7667
2025-06-13 05:01:54,865 - INFO - Trial 79: w=12, lambda=0.1715
2025-06-13 05:02:06,612 - INFO - Trial 79 accuracy: 0.8333
2025-06-13 05:02:06,829 - INFO - Trial 80: w=25, lambda=0.3761
2025-06-13 05:02:10,187 - INFO - Trial 80 accuracy: 0.8000
2025-06-13 05:02:10,438 - INFO - Trial 81: w=15, lambda=0.1088
2025-06-13 05:02:22,229 - INFO - Trial 81 accuracy: 0.8333
2025-06-13 05:02:22,406 - INFO - Trial 82: w=17, lambda=0.0459
2025-06-13 05:02:35,787 - INFO - Trial 82 accuracy: 0.8333
2025-06-13 05:02:35,891 - INFO - Trial 83: w=10, lambda=0.0864
2025-06-13 05:02:51,005 - INFO - Trial 83 accuracy: 0.8333
2025-06-13 05:02:51,100 - INFO - Trial 84: w=17, lambda=0.0200
2025-06-13 05:03:03,068 - INFO - Trial 84 accuracy: 0.0000
2025-06-13 05:03:03,282 - INFO - Trial 85: w=22, lambda=0.2737
2025-06-13 05:03:09,119 - INFO - Trial 85 accuracy: 0.8000
2025-06-13 05:03:09,314 - INFO - Trial 86: w=13, lambda=0.0295
2025-06-13 05:03:28,865 - INFO - Trial 86 accuracy: 0.7667
2025-06-13 05:03:28,994 - INFO - Trial 87: w=9, lambda=0.1812
2025-06-13 05:03:45,759 - INFO - Trial 87 accuracy: 0.8000
2025-06-13 05:03:45,930 - INFO - Trial 88: w=16, lambda=0.0595
2025-06-13 05:03:58,581 - INFO - Trial 88 accuracy: 0.8333
2025-06-13 05:03:58,676 - INFO - Trial 89: w=7, lambda=0.1365
2025-06-13 05:04:22,851 - INFO - Trial 89 accuracy: 0.8000
2025-06-13 05:04:23,037 - INFO - Trial 90: w=19, lambda=0.0392
2025-06-13 05:04:37,025 - INFO - Trial 90 accuracy: 0.8333
2025-06-13 05:04:37,137 - INFO - Trial 91: w=11, lambda=0.0454
2025-06-13 05:04:52,902 - INFO - Trial 91 accuracy: 0.8333
2025-06-13 05:04:52,978 - INFO - Trial 92: w=13, lambda=0.0900
2025-06-13 05:05:04,923 - INFO - Trial 92 accuracy: 0.8333
2025-06-13 05:05:05,004 - INFO - Trial 93: w=11, lambda=0.0135
2025-06-13 05:05:14,477 - INFO - Trial 93 accuracy: 0.0000
2025-06-13 05:05:14,523 - INFO - Trial 94: w=5, lambda=0.0274
2025-06-13 05:05:39,087 - INFO - Trial 94 accuracy: 0.7000
2025-06-13 05:05:39,131 - INFO - Trial 95: w=9, lambda=0.0687
2025-06-13 05:05:55,404 - INFO - Trial 95 accuracy: 0.8333
2025-06-13 05:05:55,435 - INFO - Trial 96: w=3, lambda=0.2258
2025-06-13 05:06:18,130 - INFO - Trial 96 accuracy: 0.8000
2025-06-13 05:06:18,164 - INFO - Trial 97: w=14, lambda=0.0080
2025-06-13 05:06:20,933 - INFO - Trial 97 accuracy: 0.0000
2025-06-13 05:06:20,974 - INFO - Trial 98: w=16, lambda=0.0352
2025-06-13 05:06:35,002 - INFO - Trial 98 accuracy: 0.8333
2025-06-13 05:06:35,078 - INFO - Trial 99: w=28, lambda=0.1417
2025-06-13 05:06:42,030 - INFO - Trial 99 accuracy: 0.7667
2025-06-13 05:06:42,086 - INFO - Trial 100: w=7, lambda=0.0172
2025-06-13 05:06:52,989 - INFO - Trial 100 accuracy: 0.0000
2025-06-13 05:06:53,050 - INFO - Trial 101: w=19, lambda=0.0559
2025-06-13 05:07:04,823 - INFO - Trial 101 accuracy: 0.8333
2025-06-13 05:07:04,915 - INFO - Trial 102: w=21, lambda=0.1030
2025-06-13 05:07:12,976 - INFO - Trial 102 accuracy: 0.8000
2025-06-13 05:07:13,029 - INFO - Trial 103: w=18, lambda=0.5372
2025-06-13 05:07:17,037 - INFO - Trial 103 accuracy: 0.7667
2025-06-13 05:07:17,091 - INFO - Trial 104: w=15, lambda=192.2269
2025-06-13 05:07:19,003 - INFO - Trial 104 accuracy: 0.7667
2025-06-13 05:07:19,041 - INFO - Trial 105: w=12, lambda=0.0752
2025-06-13 05:07:31,334 - INFO - Trial 105 accuracy: 0.8333
2025-06-13 05:07:31,366 - INFO - Trial 106: w=10, lambda=0.0230
2025-06-13 05:07:46,543 - INFO - Trial 106 accuracy: 0.1000
2025-06-13 05:07:46,600 - INFO - Trial 107: w=18, lambda=0.0502
2025-06-13 05:07:58,013 - INFO - Trial 107 accuracy: 0.8333
2025-06-13 05:07:58,051 - INFO - Trial 108: w=14, lambda=1.0889
2025-06-13 05:08:02,678 - INFO - Trial 108 accuracy: 0.7667
2025-06-13 05:08:02,717 - INFO - Trial 109: w=22, lambda=0.0684
2025-06-13 05:08:12,713 - INFO - Trial 109 accuracy: 0.8000
2025-06-13 05:08:12,766 - INFO - Trial 110: w=16, lambda=0.2976
2025-06-13 05:08:18,097 - INFO - Trial 110 accuracy: 0.7667
2025-06-13 05:08:18,126 - INFO - Trial 111: w=24, lambda=0.1902
2025-06-13 05:08:23,161 - INFO - Trial 111 accuracy: 0.8333
2025-06-13 05:08:23,204 - INFO - Trial 112: w=23, lambda=0.1174
2025-06-13 05:08:30,226 - INFO - Trial 112 accuracy: 0.8000
2025-06-13 05:08:30,258 - INFO - Trial 113: w=21, lambda=0.0363
2025-06-13 05:08:44,545 - INFO - Trial 113 accuracy: 0.8000
2025-06-13 05:08:44,625 - INFO - Trial 114: w=41, lambda=0.1690
2025-06-13 05:08:48,481 - INFO - Trial 114 accuracy: 0.7333
2025-06-13 05:08:48,660 - INFO - Trial 115: w=13, lambda=0.0792
2025-06-13 05:09:00,875 - INFO - Trial 115 accuracy: 0.8333
2025-06-13 05:09:00,953 - INFO - Trial 116: w=17, lambda=0.2088
2025-06-13 05:09:06,887 - INFO - Trial 116 accuracy: 0.8000
2025-06-13 05:09:06,983 - INFO - Trial 117: w=11, lambda=0.3747
2025-06-13 05:09:15,753 - INFO - Trial 117 accuracy: 0.7667
2025-06-13 05:09:15,860 - INFO - Trial 118: w=8, lambda=0.0547
2025-06-13 05:09:34,230 - INFO - Trial 118 accuracy: 0.8000
2025-06-13 05:09:34,293 - INFO - Trial 119: w=26, lambda=0.0950
2025-06-13 05:09:41,962 - INFO - Trial 119 accuracy: 0.8000
2025-06-13 05:09:42,019 - INFO - Trial 120: w=15, lambda=0.1381
2025-06-13 05:09:51,280 - INFO - Trial 120 accuracy: 0.8333
2025-06-13 05:09:51,334 - INFO - Trial 121: w=14, lambda=0.0380
2025-06-13 05:10:07,056 - INFO - Trial 121 accuracy: 0.8333
2025-06-13 05:10:07,106 - INFO - Trial 122: w=32, lambda=0.0413
2025-06-13 05:10:20,141 - INFO - Trial 122 accuracy: 0.7333
2025-06-13 05:10:20,211 - INFO - Trial 123: w=12, lambda=0.0250
2025-06-13 05:10:35,473 - INFO - Trial 123 accuracy: 0.4000
2025-06-13 05:10:35,541 - INFO - Trial 124: w=19, lambda=0.0596
2025-06-13 05:10:46,307 - INFO - Trial 124 accuracy: 0.8333
2025-06-13 05:10:46,378 - INFO - Trial 125: w=17, lambda=0.0310
2025-06-13 05:10:59,555 - INFO - Trial 125 accuracy: 0.8333
2025-06-13 05:10:59,591 - INFO - Trial 126: w=9, lambda=0.0188
2025-06-13 05:11:10,118 - INFO - Trial 126 accuracy: 0.0333
2025-06-13 05:11:10,169 - INFO - Trial 127: w=14, lambda=0.0879
2025-06-13 05:11:20,589 - INFO - Trial 127 accuracy: 0.8333
2025-06-13 05:11:20,621 - INFO - Trial 128: w=11, lambda=0.0455
2025-06-13 05:11:35,960 - INFO - Trial 128 accuracy: 0.8333
2025-06-13 05:11:36,011 - INFO - Trial 129: w=20, lambda=0.2468
2025-06-13 05:11:40,904 - INFO - Trial 129 accuracy: 0.8000
2025-06-13 05:11:41,037 - INFO - Trial 130: w=12, lambda=0.1098
2025-06-13 05:11:53,138 - INFO - Trial 130 accuracy: 0.8333
2025-06-13 05:11:53,340 - INFO - Trial 131: w=17, lambda=0.0303
2025-06-13 05:12:07,171 - INFO - Trial 131 accuracy: 0.8333
2025-06-13 05:12:07,304 - INFO - Trial 132: w=15, lambda=0.0113
2025-06-13 05:12:14,637 - INFO - Trial 132 accuracy: 0.0000
2025-06-13 05:12:14,722 - INFO - Trial 133: w=18, lambda=0.0636
2025-06-13 05:12:25,468 - INFO - Trial 133 accuracy: 0.8333
2025-06-13 05:12:25,649 - INFO - Trial 134: w=13, lambda=3.3066
2025-06-13 05:12:30,698 - INFO - Trial 134 accuracy: 0.8000
2025-06-13 05:12:30,872 - INFO - Trial 135: w=16, lambda=0.1432
2025-06-13 05:12:39,785 - INFO - Trial 135 accuracy: 0.8333
2025-06-13 05:12:39,919 - INFO - Trial 136: w=6, lambda=0.0153
2025-06-13 05:12:49,566 - INFO - Trial 136 accuracy: 0.0000
2025-06-13 05:12:49,667 - INFO - Trial 137: w=19, lambda=0.0245
2025-06-13 05:13:03,149 - INFO - Trial 137 accuracy: 0.5000
2025-06-13 05:13:03,243 - INFO - Trial 138: w=10, lambda=0.0365
2025-06-13 05:13:19,369 - INFO - Trial 138 accuracy: 0.8333
2025-06-13 05:13:19,480 - INFO - Trial 139: w=14, lambda=0.0486
2025-06-13 05:13:32,015 - INFO - Trial 139 accuracy: 0.8333
2025-06-13 05:13:32,080 - INFO - Trial 140: w=24, lambda=42.4888
2025-06-13 05:13:33,459 - INFO - Trial 140 accuracy: 0.7667
2025-06-13 05:13:33,502 - INFO - Trial 141: w=26, lambda=0.0750
2025-06-13 05:13:43,388 - INFO - Trial 141 accuracy: 0.8000
2025-06-13 05:13:43,470 - INFO - Trial 142: w=64, lambda=0.0287
2025-06-13 05:13:49,686 - INFO - Trial 142 accuracy: 0.7333
2025-06-13 05:13:49,793 - INFO - Trial 143: w=28, lambda=0.0431
2025-06-13 05:14:04,170 - INFO - Trial 143 accuracy: 0.7667
2025-06-13 05:14:04,275 - INFO - Trial 144: w=25, lambda=0.0199
2025-06-13 05:14:20,136 - INFO - Trial 144 accuracy: 0.3000
2025-06-13 05:14:20,243 - INFO - Trial 145: w=23, lambda=0.1026
2025-06-13 05:14:27,891 - INFO - Trial 145 accuracy: 0.8000
2025-06-13 05:14:27,999 - INFO - Trial 146: w=22, lambda=0.0641
2025-06-13 05:14:38,467 - INFO - Trial 146 accuracy: 0.8000
2025-06-13 05:14:38,579 - INFO - Trial 147: w=16, lambda=0.1517
2025-06-13 05:14:46,678 - INFO - Trial 147 accuracy: 0.8333
2025-06-13 05:14:46,779 - INFO - Trial 148: w=20, lambda=0.0512
2025-06-13 05:14:59,527 - INFO - Trial 148 accuracy: 0.8000
2025-06-13 05:14:59,607 - INFO - Trial 149: w=8, lambda=0.0340
2025-06-13 05:15:23,490 - INFO - Trial 149 accuracy: 0.8000
2025-06-13 05:15:23,718 - INFO - Trial 150: w=12, lambda=0.0875
2025-06-13 05:15:41,903 - INFO - Trial 150 accuracy: 0.8333
2025-06-13 05:15:42,068 - INFO - Trial 151: w=17, lambda=0.2065
2025-06-13 05:15:48,514 - INFO - Trial 151 accuracy: 0.8000
2025-06-13 05:15:48,627 - INFO - Trial 152: w=18, lambda=0.1164
2025-06-13 05:15:56,717 - INFO - Trial 152 accuracy: 0.8333
2025-06-13 05:15:56,919 - INFO - Trial 153: w=15, lambda=0.1560
2025-06-13 05:16:07,257 - INFO - Trial 153 accuracy: 0.8333
2025-06-13 05:16:07,364 - INFO - Trial 154: w=21, lambda=0.0700
2025-06-13 05:16:18,089 - INFO - Trial 154 accuracy: 0.8000
2025-06-13 05:16:18,223 - INFO - Trial 155: w=10, lambda=0.3207
2025-06-13 05:16:28,824 - INFO - Trial 155 accuracy: 0.7667
2025-06-13 05:16:28,922 - INFO - Trial 156: w=13, lambda=0.0387
2025-06-13 05:16:44,075 - INFO - Trial 156 accuracy: 0.8333
2025-06-13 05:16:44,714 - INFO - Trial 157: w=31, lambda=0.1337
2025-06-13 05:16:50,519 - INFO - Trial 157 accuracy: 0.7333
2025-06-13 05:16:50,604 - INFO - Trial 158: w=16, lambda=0.0238
2025-06-13 05:17:03,785 - INFO - Trial 158 accuracy: 0.2333
2025-06-13 05:17:03,924 - INFO - Trial 159: w=53, lambda=0.2589
2025-06-13 05:17:05,398 - INFO - Trial 159 accuracy: 0.7333
2025-06-13 05:17:05,429 - INFO - Trial 160: w=19, lambda=0.0539
2025-06-13 05:17:16,220 - INFO - Trial 160 accuracy: 0.8333
2025-06-13 05:17:16,270 - INFO - Trial 161: w=15, lambda=0.0844
2025-06-13 05:17:26,837 - INFO - Trial 161 accuracy: 0.8333
2025-06-13 05:17:26,903 - INFO - Trial 162: w=14, lambda=0.1820
2025-06-13 05:17:34,584 - INFO - Trial 162 accuracy: 0.8000
2025-06-13 05:17:34,626 - INFO - Trial 163: w=13, lambda=0.1189
2025-06-13 05:17:46,051 - INFO - Trial 163 accuracy: 0.8333
2025-06-13 05:17:46,119 - INFO - Trial 164: w=11, lambda=0.0968
2025-06-13 05:17:58,704 - INFO - Trial 164 accuracy: 0.8333
2025-06-13 05:17:58,776 - INFO - Trial 165: w=17, lambda=0.0411
2025-06-13 05:18:11,485 - INFO - Trial 165 accuracy: 0.8333
2025-06-13 05:18:11,581 - INFO - Trial 166: w=35, lambda=0.0316
2025-06-13 05:18:22,855 - INFO - Trial 166 accuracy: 0.7333
2025-06-13 05:18:22,909 - INFO - Trial 167: w=14, lambda=0.0624
2025-06-13 05:18:34,754 - INFO - Trial 167 accuracy: 0.8333
2025-06-13 05:18:34,893 - INFO - Trial 168: w=18, lambda=0.2150
2025-06-13 05:18:40,372 - INFO - Trial 168 accuracy: 0.8000
2025-06-13 05:18:40,422 - INFO - Trial 169: w=9, lambda=0.1247
2025-06-13 05:18:55,137 - INFO - Trial 169 accuracy: 0.8333
2025-06-13 05:18:55,197 - INFO - Trial 170: w=12, lambda=0.1696
2025-06-13 05:19:05,429 - INFO - Trial 170 accuracy: 0.8333
2025-06-13 05:19:05,716 - INFO - Trial 171: w=10, lambda=0.0470
2025-06-13 05:19:21,561 - INFO - Trial 171 accuracy: 0.8333
2025-06-13 05:19:21,690 - INFO - Trial 172: w=8, lambda=0.0558
2025-06-13 05:19:40,737 - INFO - Trial 172 accuracy: 0.8000
2025-06-13 05:19:40,821 - INFO - Trial 173: w=15, lambda=0.0815
2025-06-13 05:19:51,125 - INFO - Trial 173 accuracy: 0.8333
2025-06-13 05:19:51,163 - INFO - Trial 174: w=12, lambda=0.0279
2025-06-13 05:20:05,521 - INFO - Trial 174 accuracy: 0.8333
2025-06-13 05:20:05,559 - INFO - Trial 175: w=11, lambda=0.0438
2025-06-13 05:20:19,705 - INFO - Trial 175 accuracy: 0.8333
2025-06-13 05:20:19,741 - INFO - Trial 176: w=6, lambda=0.0690
2025-06-13 05:20:40,809 - INFO - Trial 176 accuracy: 0.8000
2025-06-13 05:20:40,883 - INFO - Trial 177: w=21, lambda=0.0332
2025-06-13 05:20:54,664 - INFO - Trial 177 accuracy: 0.8000
2025-06-13 05:20:54,729 - INFO - Trial 178: w=13, lambda=0.1008
2025-06-13 05:21:04,974 - INFO - Trial 178 accuracy: 0.8333
2025-06-13 05:21:05,030 - INFO - Trial 179: w=24, lambda=0.0525
2025-06-13 05:21:17,411 - INFO - Trial 179 accuracy: 0.8000
2025-06-13 05:21:17,453 - INFO - Trial 180: w=10, lambda=0.0215
2025-06-13 05:21:30,269 - INFO - Trial 180 accuracy: 0.0333
2025-06-13 05:21:30,310 - INFO - Trial 181: w=19, lambda=0.0807
