2025-06-13 05:26:27,830 - INFO - Dataset: Coffee
2025-06-13 05:26:27,831 - INFO - Loading and normalizing train/test data...
2025-06-13 05:26:28,311 - INFO - Starting hyperparameter optimization...
2025-06-13 05:30:44,748 - INFO - Trial 18 accuracy: 0.8571
2025-06-13 05:30:44,781 - INFO - Trial 19: w=20, lambda=0.9027
2025-06-13 05:30:57,488 - INFO - Trial 19 accuracy: 0.8214
2025-06-13 05:30:57,582 - INFO - Trial 20: w=50, lambda=18.8961
2025-06-13 05:30:59,491 - INFO - Trial 20 accuracy: 0.5357
2025-06-13 05:30:59,522 - INFO - Trial 21: w=32, lambda=0.4584
2025-06-13 05:31:10,958 - INFO - Trial 21 accuracy: 0.8571
2025-06-13 05:31:11,094 - INFO - Trial 22: w=24, lambda=0.1375
2025-06-13 05:31:36,038 - INFO - Trial 22 accuracy: 0.9643
2025-06-13 05:31:36,124 - INFO - Trial 23: w=4, lambda=0.0845
2025-06-13 05:32:00,077 - INFO - Trial 23 accuracy: 1.0000
2025-06-13 05:32:00,176 - INFO - Trial 24: w=4, lambda=0.0075
2025-06-13 05:32:12,768 - INFO - Trial 24 accuracy: 0.7143
2025-06-13 05:32:12,804 - INFO - Trial 25: w=15, lambda=2.0905
2025-06-13 05:32:27,150 - INFO - Trial 25 accuracy: 0.8571
2025-06-13 05:32:27,185 - INFO - Trial 26: w=2, lambda=0.0722
2025-06-13 05:32:50,835 - INFO - Trial 26 accuracy: 1.0000
2025-06-13 05:32:50,877 - INFO - Trial 27: w=1, lambda=0.0513
2025-06-13 05:33:14,580 - INFO - Trial 27 accuracy: 1.0000
2025-06-13 05:33:14,633 - INFO - Trial 28: w=2, lambda=0.0010
2025-06-13 05:33:14,883 - INFO - Trial 28 accuracy: 0.1786
2025-06-13 05:33:14,910 - INFO - Trial 29: w=11, lambda=0.0558
2025-06-13 05:33:38,635 - INFO - Trial 29 accuracy: 1.0000
2025-06-13 05:33:38,673 - INFO - Trial 30: w=35, lambda=0.0155
2025-06-13 05:34:02,683 - INFO - Trial 30 accuracy: 0.8571
2025-06-13 05:34:02,722 - INFO - Trial 31: w=11, lambda=0.0685
2025-06-13 05:34:26,257 - INFO - Trial 31 accuracy: 1.0000
2025-06-13 05:34:26,294 - INFO - Trial 32: w=8, lambda=0.0478
2025-06-13 05:34:49,892 - INFO - Trial 32 accuracy: 1.0000
2025-06-13 05:34:49,929 - INFO - Trial 33: w=18, lambda=0.1189
2025-06-13 05:35:13,540 - INFO - Trial 33 accuracy: 1.0000
2025-06-13 05:35:13,574 - INFO - Trial 34: w=1, lambda=0.0177
2025-06-13 05:35:37,256 - INFO - Trial 34 accuracy: 1.0000
2025-06-13 05:35:37,293 - INFO - Trial 35: w=17, lambda=0.0095
2025-06-13 05:35:58,083 - INFO - Trial 35 accuracy: 1.0000
2025-06-13 05:35:58,142 - INFO - Trial 36: w=25, lambda=0.0035
2025-06-13 05:36:00,203 - INFO - Trial 36 accuracy: 0.5000
2025-06-13 05:36:00,236 - INFO - Trial 37: w=10, lambda=0.0285
2025-06-13 05:36:23,782 - INFO - Trial 37 accuracy: 1.0000
2025-06-13 05:36:23,824 - INFO - Trial 38: w=46, lambda=0.0710
2025-06-13 05:36:47,746 - INFO - Trial 38 accuracy: 0.8929
2025-06-13 05:36:47,825 - INFO - Trial 39: w=29, lambda=0.1622
2025-06-13 05:37:11,424 - INFO - Trial 39 accuracy: 0.8929
2025-06-13 05:37:11,462 - INFO - Trial 40: w=66, lambda=0.4926
2025-06-13 05:37:14,464 - INFO - Trial 40 accuracy: 0.6071
2025-06-13 05:37:14,499 - INFO - Trial 41: w=9, lambda=0.0707
2025-06-13 05:37:38,146 - INFO - Trial 41 accuracy: 1.0000
2025-06-13 05:37:38,177 - INFO - Trial 42: w=9, lambda=0.0544
2025-06-13 05:38:01,779 - INFO - Trial 42 accuracy: 1.0000
2025-06-13 05:38:01,812 - INFO - Trial 43: w=18, lambda=0.0843
2025-06-13 05:38:25,264 - INFO - Trial 43 accuracy: 1.0000
2025-06-13 05:38:25,298 - INFO - Trial 44: w=8, lambda=0.0226
2025-06-13 05:38:48,923 - INFO - Trial 44 accuracy: 1.0000
2025-06-13 05:38:48,959 - INFO - Trial 45: w=79, lambda=0.0368
2025-06-13 05:39:12,420 - INFO - Trial 45 accuracy: 0.7857
2025-06-13 05:39:12,460 - INFO - Trial 46: w=122, lambda=0.2502
2025-06-13 05:39:17,510 - INFO - Trial 46 accuracy: 0.7143
2025-06-13 05:39:17,544 - INFO - Trial 47: w=37, lambda=0.1097
2025-06-13 05:39:40,985 - INFO - Trial 47 accuracy: 0.8571
2025-06-13 05:39:41,026 - INFO - Trial 48: w=14, lambda=0.0093
2025-06-13 05:40:00,975 - INFO - Trial 48 accuracy: 1.0000
2025-06-13 05:40:01,011 - INFO - Trial 49: w=22, lambda=0.6581
2025-06-13 05:40:13,145 - INFO - Trial 49 accuracy: 0.8214
2025-06-13 05:40:13,178 - INFO - Trial 50: w=4, lambda=0.1832
2025-06-13 05:40:36,593 - INFO - Trial 50 accuracy: 1.0000
2025-06-13 05:40:36,628 - INFO - Trial 51: w=7, lambda=0.0467
2025-06-13 05:41:00,668 - INFO - Trial 51 accuracy: 1.0000
2025-06-13 05:41:00,734 - INFO - Trial 52: w=13, lambda=0.0360
2025-06-13 05:41:24,185 - INFO - Trial 52 accuracy: 1.0000
2025-06-13 05:41:24,220 - INFO - Trial 53: w=1, lambda=0.3439
2025-06-13 05:41:47,975 - INFO - Trial 53 accuracy: 1.0000
2025-06-13 05:41:48,026 - INFO - Trial 54: w=27, lambda=0.0539
2025-06-13 05:42:11,517 - INFO - Trial 54 accuracy: 0.8929
2025-06-13 05:42:11,552 - INFO - Trial 55: w=103, lambda=0.0142
2025-06-13 05:42:34,892 - INFO - Trial 55 accuracy: 0.7857
2025-06-13 05:42:34,937 - INFO - Trial 56: w=142, lambda=0.1101
2025-06-13 05:42:55,638 - INFO - Trial 56 accuracy: 0.7143
2025-06-13 05:42:55,675 - INFO - Trial 57: w=13, lambda=0.0242
2025-06-13 05:43:19,162 - INFO - Trial 57 accuracy: 1.0000
2025-06-13 05:43:19,205 - INFO - Trial 58: w=6, lambda=0.0928
2025-06-13 05:43:42,688 - INFO - Trial 58 accuracy: 1.0000
2025-06-13 05:43:42,721 - INFO - Trial 59: w=21, lambda=0.2195
2025-06-13 05:44:06,196 - INFO - Trial 59 accuracy: 0.9643
2025-06-13 05:44:06,230 - INFO - Trial 60: w=6, lambda=0.0060
2025-06-13 05:44:13,155 - INFO - Trial 60 accuracy: 0.2143
2025-06-13 05:44:13,189 - INFO - Trial 61: w=18, lambda=0.1466
2025-06-13 05:44:36,525 - INFO - Trial 61 accuracy: 1.0000
2025-06-13 05:44:36,559 - INFO - Trial 62: w=13, lambda=0.0495
2025-06-13 05:45:00,049 - INFO - Trial 62 accuracy: 1.0000
2025-06-13 05:45:00,080 - INFO - Trial 63: w=17, lambda=0.0317
2025-06-13 05:45:23,597 - INFO - Trial 63 accuracy: 1.0000
2025-06-13 05:45:23,633 - INFO - Trial 64: w=1, lambda=139.0014
2025-06-13 05:45:40,821 - INFO - Trial 64 accuracy: 1.0000
2025-06-13 05:45:40,868 - INFO - Trial 65: w=22, lambda=0.3997
2025-06-13 05:46:00,429 - INFO - Trial 65 accuracy: 0.9286
2025-06-13 05:46:00,501 - INFO - Trial 66: w=29, lambda=0.0800
2025-06-13 05:46:24,055 - INFO - Trial 66 accuracy: 0.8929
2025-06-13 05:46:24,100 - INFO - Trial 67: w=9, lambda=0.1303
2025-06-13 05:46:47,930 - INFO - Trial 67 accuracy: 1.0000
2025-06-13 05:46:47,979 - INFO - Trial 68: w=34, lambda=0.0540
2025-06-13 05:47:11,344 - INFO - Trial 68 accuracy: 0.8571
2025-06-13 05:47:11,382 - INFO - Trial 69: w=6, lambda=0.0206
2025-06-13 05:47:35,073 - INFO - Trial 69 accuracy: 1.0000
2025-06-13 05:47:35,131 - INFO - Trial 70: w=12, lambda=1.1814
2025-06-13 05:47:57,146 - INFO - Trial 70 accuracy: 0.9286
2025-06-13 05:47:57,186 - INFO - Trial 71: w=1, lambda=0.0146
2025-06-13 05:48:20,580 - INFO - Trial 71 accuracy: 1.0000
2025-06-13 05:48:20,616 - INFO - Trial 72: w=4, lambda=0.0098
2025-06-13 05:48:40,935 - INFO - Trial 72 accuracy: 1.0000
2025-06-13 05:48:40,967 - INFO - Trial 73: w=17, lambda=0.0214
2025-06-13 05:49:04,286 - INFO - Trial 73 accuracy: 1.0000
2025-06-13 05:49:04,326 - INFO - Trial 74: w=10, lambda=0.0031
2025-06-13 05:49:05,458 - INFO - Trial 74 accuracy: 0.2500
2025-06-13 05:49:05,488 - INFO - Trial 75: w=15, lambda=0.0432
2025-06-13 05:49:29,039 - INFO - Trial 75 accuracy: 1.0000
2025-06-13 05:49:29,076 - INFO - Trial 76: w=4, lambda=0.0656
2025-06-13 05:49:52,647 - INFO - Trial 76 accuracy: 1.0000
2025-06-13 05:49:52,693 - INFO - Trial 77: w=25, lambda=0.2819
2025-06-13 05:50:15,807 - INFO - Trial 77 accuracy: 0.9643
2025-06-13 05:50:15,848 - INFO - Trial 78: w=10, lambda=0.0933
2025-06-13 05:50:39,325 - INFO - Trial 78 accuracy: 1.0000
2025-06-13 05:50:39,362 - INFO - Trial 79: w=1, lambda=0.0175
2025-06-13 05:51:03,159 - INFO - Trial 79 accuracy: 1.0000
2025-06-13 05:51:03,269 - INFO - Trial 80: w=20, lambda=0.2000
2025-06-13 05:51:26,801 - INFO - Trial 80 accuracy: 0.9643
2025-06-13 05:51:26,840 - INFO - Trial 81: w=59, lambda=0.0096
2025-06-13 05:51:50,330 - INFO - Trial 81 accuracy: 0.7857
2025-06-13 05:51:50,389 - INFO - Trial 82: w=17, lambda=0.0286
2025-06-13 05:52:13,964 - INFO - Trial 82 accuracy: 1.0000
2025-06-13 05:52:14,008 - INFO - Trial 83: w=7, lambda=0.0050
2025-06-13 05:52:17,663 - INFO - Trial 83 accuracy: 0.0714
2025-06-13 05:52:17,709 - INFO - Trial 84: w=42, lambda=0.0117
2025-06-13 05:52:41,156 - INFO - Trial 84 accuracy: 0.8214
2025-06-13 05:52:41,196 - INFO - Trial 85: w=11, lambda=0.0360
2025-06-13 05:53:04,879 - INFO - Trial 85 accuracy: 1.0000
2025-06-13 05:53:04,920 - INFO - Trial 86: w=5, lambda=0.0658
2025-06-13 05:53:28,578 - INFO - Trial 86 accuracy: 1.0000
2025-06-13 05:53:28,613 - INFO - Trial 87: w=91, lambda=0.1039
2025-06-13 05:53:51,302 - INFO - Trial 87 accuracy: 0.7500
2025-06-13 05:53:51,341 - INFO - Trial 88: w=15, lambda=0.1602
2025-06-13 05:54:14,875 - INFO - Trial 88 accuracy: 1.0000
2025-06-13 05:54:14,908 - INFO - Trial 89: w=26, lambda=0.0072
2025-06-13 05:54:30,349 - INFO - Trial 89 accuracy: 0.8214
2025-06-13 05:54:30,382 - INFO - Trial 90: w=22, lambda=0.0033
2025-06-13 05:54:31,990 - INFO - Trial 90 accuracy: 0.3929
2025-06-13 05:54:32,028 - INFO - Trial 91: w=10, lambda=0.0274
2025-06-13 05:54:55,623 - INFO - Trial 91 accuracy: 1.0000
2025-06-13 05:54:55,657 - INFO - Trial 92: w=7, lambda=0.0354
2025-06-13 05:55:19,116 - INFO - Trial 92 accuracy: 1.0000
2025-06-13 05:55:19,159 - INFO - Trial 93: w=4, lambda=0.0173
2025-06-13 05:55:42,689 - INFO - Trial 93 accuracy: 1.0000
2025-06-13 05:55:42,735 - INFO - Trial 94: w=13, lambda=0.0458
2025-06-13 05:56:06,460 - INFO - Trial 94 accuracy: 1.0000
2025-06-13 05:56:06,519 - INFO - Trial 95: w=19, lambda=0.0631
2025-06-13 05:56:30,065 - INFO - Trial 95 accuracy: 1.0000
2025-06-13 05:56:30,116 - INFO - Trial 96: w=8, lambda=0.0116
2025-06-13 05:56:53,124 - INFO - Trial 96 accuracy: 1.0000
2025-06-13 05:56:53,172 - INFO - Trial 97: w=3, lambda=39.2833
2025-06-13 05:57:15,633 - INFO - Trial 97 accuracy: 1.0000
2025-06-13 05:57:15,680 - INFO - Trial 98: w=116, lambda=0.0788
2025-06-13 05:57:39,242 - INFO - Trial 98 accuracy: 0.7500
2025-06-13 05:57:39,278 - INFO - Trial 99: w=30, lambda=0.1316
2025-06-13 05:58:02,723 - INFO - Trial 99 accuracy: 0.8929
2025-06-13 05:58:02,762 - INFO - Trial 100: w=16, lambda=0.0245
2025-06-13 05:58:26,075 - INFO - Trial 100 accuracy: 1.0000
2025-06-13 05:58:26,117 - INFO - Trial 101: w=10, lambda=0.0423
2025-06-13 05:58:49,544 - INFO - Trial 101 accuracy: 1.0000
2025-06-13 05:58:49,588 - INFO - Trial 102: w=1, lambda=0.1102
2025-06-13 05:59:13,089 - INFO - Trial 102 accuracy: 1.0000
2025-06-13 05:59:13,125 - INFO - Trial 103: w=12, lambda=0.0696
2025-06-13 05:59:36,688 - INFO - Trial 103 accuracy: 1.0000
2025-06-13 05:59:36,723 - INFO - Trial 104: w=7, lambda=0.0190
2025-06-13 06:00:00,368 - INFO - Trial 104 accuracy: 1.0000
2025-06-13 06:00:00,412 - INFO - Trial 105: w=14, lambda=0.0602
2025-06-13 06:00:24,000 - INFO - Trial 105 accuracy: 1.0000
2025-06-13 06:00:24,046 - INFO - Trial 106: w=72, lambda=0.0300
2025-06-13 06:00:47,668 - INFO - Trial 106 accuracy: 0.7857
2025-06-13 06:00:47,721 - INFO - Trial 107: w=5, lambda=0.0859
2025-06-13 06:01:11,464 - INFO - Trial 107 accuracy: 1.0000
2025-06-13 06:01:11,503 - INFO - Trial 108: w=19, lambda=0.1799
2025-06-13 06:01:35,057 - INFO - Trial 108 accuracy: 1.0000
2025-06-13 06:01:35,097 - INFO - Trial 109: w=9, lambda=0.0427
2025-06-13 06:01:58,806 - INFO - Trial 109 accuracy: 1.0000
2025-06-13 06:01:58,865 - INFO - Trial 110: w=24, lambda=0.5931
2025-06-13 06:02:10,543 - INFO - Trial 110 accuracy: 0.8214
2025-06-13 06:02:10,581 - INFO - Trial 111: w=3, lambda=0.0525
2025-06-13 06:02:34,067 - INFO - Trial 111 accuracy: 1.0000
2025-06-13 06:02:34,108 - INFO - Trial 112: w=11, lambda=0.1238
2025-06-13 06:02:57,613 - INFO - Trial 112 accuracy: 1.0000
2025-06-13 06:02:57,651 - INFO - Trial 113: w=8, lambda=0.0325
2025-06-13 06:03:21,112 - INFO - Trial 113 accuracy: 1.0000
2025-06-13 06:03:21,153 - INFO - Trial 114: w=15, lambda=0.0897
2025-06-13 06:03:44,653 - INFO - Trial 114 accuracy: 1.0000
2025-06-13 06:03:44,691 - INFO - Trial 115: w=4, lambda=0.0134
2025-06-13 06:04:08,163 - INFO - Trial 115 accuracy: 1.0000
2025-06-13 06:04:08,196 - INFO - Trial 116: w=1, lambda=0.0548
2025-06-13 06:04:31,601 - INFO - Trial 116 accuracy: 1.0000
2025-06-13 06:04:31,633 - INFO - Trial 117: w=12, lambda=0.0245
2025-06-13 06:04:55,002 - INFO - Trial 117 accuracy: 1.0000
2025-06-13 06:04:55,044 - INFO - Trial 118: w=21, lambda=0.3172
2025-06-13 06:05:18,052 - INFO - Trial 118 accuracy: 0.9643
2025-06-13 06:05:18,094 - INFO - Trial 119: w=6, lambda=0.0788
2025-06-13 06:05:41,738 - INFO - Trial 119 accuracy: 1.0000
2025-06-13 06:05:41,781 - INFO - Trial 120: w=16, lambda=0.0442
2025-06-13 06:06:05,664 - INFO - Trial 120 accuracy: 1.0000
2025-06-13 06:06:05,753 - INFO - Trial 121: w=9, lambda=0.2184
2025-06-13 06:06:29,345 - INFO - Trial 121 accuracy: 1.0000
2025-06-13 06:06:29,389 - INFO - Trial 122: w=18, lambda=0.1577
2025-06-13 06:06:53,143 - INFO - Trial 122 accuracy: 1.0000
2025-06-13 06:06:53,210 - INFO - Trial 123: w=13, lambda=0.0968
2025-06-13 06:07:16,734 - INFO - Trial 123 accuracy: 1.0000
2025-06-13 06:07:16,771 - INFO - Trial 124: w=6, lambda=0.0679
2025-06-13 06:07:40,199 - INFO - Trial 124 accuracy: 1.0000
2025-06-13 06:07:40,233 - INFO - Trial 125: w=10, lambda=0.0363
2025-06-13 06:08:03,578 - INFO - Trial 125 accuracy: 1.0000
2025-06-13 06:08:03,618 - INFO - Trial 126: w=28, lambda=0.0209
2025-06-13 06:08:26,993 - INFO - Trial 126 accuracy: 0.8571
2025-06-13 06:08:27,031 - INFO - Trial 127: w=3, lambda=0.0535
2025-06-13 06:08:50,493 - INFO - Trial 127 accuracy: 1.0000
2025-06-13 06:08:50,571 - INFO - Trial 128: w=18, lambda=2.3513
2025-06-13 06:09:00,824 - INFO - Trial 128 accuracy: 0.7143
2025-06-13 06:09:00,862 - INFO - Trial 129: w=8, lambda=0.0077
2025-06-13 06:09:14,729 - INFO - Trial 129 accuracy: 0.6071
2025-06-13 06:09:14,772 - INFO - Trial 130: w=14, lambda=0.0288
2025-06-13 06:09:38,227 - INFO - Trial 130 accuracy: 1.0000
2025-06-13 06:09:38,270 - INFO - Trial 131: w=1, lambda=0.0179
2025-06-13 06:10:01,822 - INFO - Trial 131 accuracy: 1.0000
2025-06-13 06:10:01,867 - INFO - Trial 132: w=6, lambda=0.1164
2025-06-13 06:10:25,314 - INFO - Trial 132 accuracy: 1.0000
2025-06-13 06:10:25,352 - INFO - Trial 133: w=11, lambda=0.0398
2025-06-13 06:10:49,004 - INFO - Trial 133 accuracy: 1.0000
2025-06-13 06:10:49,072 - INFO - Trial 134: w=23, lambda=0.0740
2025-06-13 06:11:12,556 - INFO - Trial 134 accuracy: 0.9286
2025-06-13 06:11:12,604 - INFO - Trial 135: w=4, lambda=0.0233
2025-06-13 06:11:36,021 - INFO - Trial 135 accuracy: 1.0000
2025-06-13 06:11:36,069 - INFO - Trial 136: w=9, lambda=0.0484
2025-06-13 06:12:00,373 - INFO - Trial 136 accuracy: 1.0000
2025-06-13 06:12:00,421 - INFO - Trial 137: w=16, lambda=0.0601
2025-06-13 06:12:23,760 - INFO - Trial 137 accuracy: 1.0000
2025-06-13 06:12:23,801 - INFO - Trial 138: w=7, lambda=0.0153
2025-06-13 06:12:47,216 - INFO - Trial 138 accuracy: 1.0000
2025-06-13 06:12:47,246 - INFO - Trial 139: w=12, lambda=0.0305
2025-06-13 06:13:10,882 - INFO - Trial 139 accuracy: 1.0000
2025-06-13 06:13:10,920 - INFO - Trial 140: w=19, lambda=0.0108
2025-06-13 06:13:32,974 - INFO - Trial 140 accuracy: 1.0000
2025-06-13 06:13:33,020 - INFO - Trial 141: w=14, lambda=0.0052
2025-06-13 06:13:38,633 - INFO - Trial 141 accuracy: 0.8214
2025-06-13 06:13:38,670 - INFO - Trial 142: w=1, lambda=0.0026
2025-06-13 06:13:39,198 - INFO - Trial 142 accuracy: 0.2857
2025-06-13 06:13:39,228 - INFO - Trial 143: w=4, lambda=0.0135
2025-06-13 06:14:02,462 - INFO - Trial 143 accuracy: 1.0000
2025-06-13 06:14:02,502 - INFO - Trial 144: w=21, lambda=0.0082
2025-06-13 06:14:20,709 - INFO - Trial 144 accuracy: 1.0000
2025-06-13 06:14:20,744 - INFO - Trial 145: w=56, lambda=0.0971
2025-06-13 06:14:44,062 - INFO - Trial 145 accuracy: 0.8929
2025-06-13 06:14:44,098 - INFO - Trial 146: w=8, lambda=0.0753
2025-06-13 06:15:07,401 - INFO - Trial 146 accuracy: 1.0000
2025-06-13 06:15:07,442 - INFO - Trial 147: w=15, lambda=0.1359
2025-06-13 06:15:30,870 - INFO - Trial 147 accuracy: 1.0000
2025-06-13 06:15:30,905 - INFO - Trial 148: w=49, lambda=0.0380
2025-06-13 06:15:54,715 - INFO - Trial 148 accuracy: 0.8571
2025-06-13 06:15:54,803 - INFO - Trial 149: w=11, lambda=0.0193
2025-06-13 06:16:18,124 - INFO - Trial 149 accuracy: 1.0000
2025-06-13 06:16:18,167 - INFO - Trial 150: w=5, lambda=0.0064
2025-06-13 06:16:26,649 - INFO - Trial 150 accuracy: 0.3929
2025-06-13 06:16:26,694 - INFO - Trial 151: w=3, lambda=0.1625
2025-06-13 06:16:50,245 - INFO - Trial 151 accuracy: 1.0000
2025-06-13 06:16:50,324 - INFO - Trial 152: w=7, lambda=0.2426
2025-06-13 06:17:13,829 - INFO - Trial 152 accuracy: 1.0000
2025-06-13 06:17:13,878 - INFO - Trial 153: w=10, lambda=0.0570
2025-06-13 06:17:37,408 - INFO - Trial 153 accuracy: 1.0000
2025-06-13 06:17:37,441 - INFO - Trial 154: w=1, lambda=0.0981
2025-06-13 06:18:00,880 - INFO - Trial 154 accuracy: 1.0000
2025-06-13 06:18:00,926 - INFO - Trial 155: w=14, lambda=0.1871
2025-06-13 06:18:24,392 - INFO - Trial 155 accuracy: 1.0000
2025-06-13 06:18:24,432 - INFO - Trial 156: w=104, lambda=0.0097
2025-06-13 06:18:47,805 - INFO - Trial 156 accuracy: 0.7857
2025-06-13 06:18:47,841 - INFO - Trial 157: w=4, lambda=0.0801
2025-06-13 06:19:11,306 - INFO - Trial 157 accuracy: 1.0000
2025-06-13 06:19:11,353 - INFO - Trial 158: w=131, lambda=0.0041
2025-06-13 06:19:20,940 - INFO - Trial 158 accuracy: 0.7500
2025-06-13 06:19:20,975 - INFO - Trial 159: w=17, lambda=0.0260
2025-06-13 06:19:44,556 - INFO - Trial 159 accuracy: 1.0000
2025-06-13 06:19:44,598 - INFO - Trial 160: w=8, lambda=0.1134
2025-06-13 06:20:08,062 - INFO - Trial 160 accuracy: 1.0000
2025-06-13 06:20:08,105 - INFO - Trial 161: w=6, lambda=0.0476
2025-06-13 06:20:31,572 - INFO - Trial 161 accuracy: 1.0000
2025-06-13 06:20:31,607 - INFO - Trial 162: w=10, lambda=0.0558
2025-06-13 06:20:55,534 - INFO - Trial 162 accuracy: 1.0000
2025-06-13 06:20:55,606 - INFO - Trial 163: w=12, lambda=0.0332
2025-06-13 06:21:19,121 - INFO - Trial 163 accuracy: 1.0000
2025-06-13 06:21:19,167 - INFO - Trial 164: w=5, lambda=0.0686
2025-06-13 06:21:42,686 - INFO - Trial 164 accuracy: 1.0000
2025-06-13 06:21:42,725 - INFO - Trial 165: w=8, lambda=0.0451
2025-06-13 06:22:06,534 - INFO - Trial 165 accuracy: 1.0000
2025-06-13 06:22:06,594 - INFO - Trial 166: w=13, lambda=0.0880
2025-06-13 06:22:30,145 - INFO - Trial 166 accuracy: 1.0000
2025-06-13 06:22:30,191 - INFO - Trial 167: w=1, lambda=0.0403
2025-06-13 06:22:53,648 - INFO - Trial 167 accuracy: 1.0000
2025-06-13 06:22:53,689 - INFO - Trial 168: w=17, lambda=0.1329
2025-06-13 06:23:17,070 - INFO - Trial 168 accuracy: 1.0000
2025-06-13 06:23:17,112 - INFO - Trial 169: w=5, lambda=0.0237
2025-06-13 06:23:40,665 - INFO - Trial 169 accuracy: 1.0000
2025-06-13 06:23:40,727 - INFO - Trial 170: w=10, lambda=0.0632
2025-06-13 06:24:04,231 - INFO - Trial 170 accuracy: 1.0000
2025-06-13 06:24:04,269 - INFO - Trial 171: w=13, lambda=0.0502
2025-06-13 06:24:27,759 - INFO - Trial 171 accuracy: 1.0000
2025-06-13 06:24:27,802 - INFO - Trial 172: w=21, lambda=0.0318
2025-06-13 06:24:51,279 - INFO - Trial 172 accuracy: 0.9643
2025-06-13 06:24:51,319 - INFO - Trial 173: w=8, lambda=0.0149
2025-06-13 06:25:14,815 - INFO - Trial 173 accuracy: 1.0000
2025-06-13 06:25:14,856 - INFO - Trial 174: w=3, lambda=0.0363
2025-06-13 06:25:38,422 - INFO - Trial 174 accuracy: 1.0000
2025-06-13 06:25:38,458 - INFO - Trial 175: w=83, lambda=0.0768
2025-06-13 06:26:02,236 - INFO - Trial 175 accuracy: 0.7500
2025-06-13 06:26:02,319 - INFO - Trial 176: w=15, lambda=0.1072
2025-06-13 06:26:25,841 - INFO - Trial 176 accuracy: 1.0000
2025-06-13 06:26:25,877 - INFO - Trial 177: w=6, lambda=0.0210
2025-06-13 06:26:49,621 - INFO - Trial 177 accuracy: 1.0000
2025-06-13 06:26:49,716 - INFO - Trial 178: w=11, lambda=0.0602
2025-06-13 06:27:13,382 - INFO - Trial 178 accuracy: 1.0000
2025-06-13 06:27:13,435 - INFO - Trial 179: w=18, lambda=0.0264
2025-06-13 06:27:36,700 - INFO - Trial 179 accuracy: 1.0000
2025-06-13 06:27:36,734 - INFO - Trial 180: w=64, lambda=0.0458
2025-06-13 06:28:00,834 - INFO - Trial 180 accuracy: 0.8214
2025-06-13 06:28:01,063 - INFO - Trial 181: w=1, lambda=0.3966
